"open","high","low","close","volume","adjusted","mean","returns","date"
2984.199951,3062,2967.399902,3009,918984,3009,3005.64996325,0.0364846418414309,"2020-06-16"
3024.800049,3074,3016.399902,3068.199951,606922,3068.199951,3045.8499755,0.0133748150122352,"2020-06-17"
3058.600098,3115,3021.199951,3108,741444,3108,3075.70001225,0.00980023211586431,"2020-06-18"
3108,3176.199951,3107,3155,700753,3155,3136.54998775,0.0197841061409256,"2020-06-19"
3170.199951,3270.800049,3115,3250.399902,721050,3250.399902,3201.5999755,0.0207393435475465,"2020-06-22"
3240.399902,3444.800049,3240.399902,3364.800049,1573342,3364.800049,3322.5999755,0.0377936034876135,"2020-06-23"
3432.199951,3500,3383,3477,1188617,3477,3448.04998775,0.0377565801405634,"2020-06-25"
3476.199951,3519.399902,3417,3442.800049,560008,3442.800049,3463.8499755,0.00458229660420622,"2020-06-26"
3431.199951,3483.199951,3380.199951,3469.199951,535624,3469.199951,3440.949951,-0.00661114790247075,"2020-06-29"
3516.199951,3530,3514,3525,564383,3525,3521.29998775,0.0233511204447042,"2020-06-30"
3524,3588,3502,3546.199951,402796,3546.199951,3540.04998775,0.00532473804141313,"2020-07-02"
3560.399902,3575,3513,3539.600098,260047,3539.600098,3547,0.00196325257384775,"2020-07-03"
3572.800049,3710,3555.600098,3671.399902,545754,3671.399902,3627.45001225,0.0226811424443191,"2020-07-06"
3636,3664.199951,3575,3593.800049,563060,3593.800049,3617.25,-0.00281189601939493,"2020-07-07"
3595.399902,3636,3553,3563.399902,544340,3563.399902,3586.949951,-0.00837654267744832,"2020-07-08"
3590,3658,3580,3603.399902,440736,3603.399902,3607.8499755,0.00582668417053701,"2020-07-09"
3629.600098,3684.800049,3601,3602,464997,3602,3629.35003675,0.00595924481228469,"2020-07-10"
3637,3719.600098,3635,3692.600098,377440,3692.600098,3671.050049,0.0114896639419606,"2020-07-13"
3670.199951,3715,3581.199951,3706.600098,592964,3706.600098,3668.25,-0.000762737898591898,"2020-07-14"
3762,3896.399902,3762,3841.399902,725068,3841.399902,3815.449951,0.0401281131329653,"2020-07-15"
3844.800049,3882.800049,3807,3821.800049,432553,3821.800049,3839.10003675,0.00619850503970089,"2020-07-16"
3824,3966,3824,3910,565996,3910,3881,0.010914006628874,"2020-07-17"
3957,3992.199951,3901,3989.399902,513518,3989.399902,3959.89996325,0.0203298024349394,"2020-07-20"
3950.199951,3959.800049,3934.800049,3957.399902,936097,3957.399902,3950.54998775,-0.00236116457152266,"2020-07-21"
3965,4008,3910.600098,3993.399902,606689,3993.399902,3969.25,0.00473352123324234,"2020-07-22"
4001,4069.600098,3983.399902,3994.800049,496257,3994.800049,4012.20001225,0.0108206870945392,"2020-07-23"
4008.800049,4034,3931,4012,436141,4012,3996.45001225,-0.00392552713023087,"2020-07-24"
4035,4105.799805,4012,4090,408136,4090,4060.69995125,0.0160767528188917,"2020-07-27"
4194,4198.799805,3972,4122,1225773,4122,4121.69995125,0.0150220407152275,"2020-07-28"
4131,4222,4121.600098,4177.600098,487920,4177.600098,4163.050049,0.0100322920734343,"2020-07-29"
4182.200195,4196.799805,4104.399902,4127.200195,412303,4127.200195,4152.65002425,-0.00249817432593612,"2020-07-30"
4213,4260,4180.200195,4232.799805,684533,4232.799805,4221.5,0.0165797684244856,"2020-07-31"
4261.200195,4328,4242.600098,4303,459096,4303,4283.70007325,0.014734116605472,"2020-08-03"
4318.799805,4348.799805,4306,4317,308201,4317,4322.6499025,0.00909256684267544,"2020-08-04"
4333.200195,4355,4310,4315.399902,449176,4315.399902,4328.40002425,0.00133023073339241,"2020-08-05"
4335,4409.799805,4330.200195,4396,368119,4396,4367.75,0.00909111346676368,"2020-08-06"
4394,4443.600098,4343.399902,4393,450771,4393,4393.5,0.00589548394482285,"2020-08-07"
4381,4396,4205,4231.799805,553672,4231.799805,4303.44995125,-0.0204961986457267,"2020-08-10"
4228.200195,4329,4135.200195,4234.200195,1095214,4234.200195,4231.65014625,-0.0166842430639037,"2020-08-11"
4208.200195,4309.600098,4182,4300,838082,4300,4249.95007325,0.00432453685147319,"2020-08-12"
4411,4554.200195,4360.600098,4397.399902,3418376,4397.399902,4430.80004875,0.0425534353069945,"2020-08-13"
4366,4459.799805,4374.200195,4379,2070228,4379,4394.75,-0.00813623913364599,"2020-08-14"
4409.799805,4534.600098,4406.200195,4482.399902,2322056,4482.399902,4458.25,0.0144490585357529,"2020-08-17"
4491.600098,4548,4464.399902,4491.799805,1850921,4491.799805,4498.94995125,0.00912913166601238,"2020-08-18"
4503.600098,4605,4497.600098,4594,1811687,4594,4550.050049,0.0113582276539445,"2020-08-19"
4594.799805,4760,4586,4657.200195,2793754,4657.200195,4649.5,0.0218568916669076,"2020-08-20"
4725,4823.799805,4720,4758.399902,2340659,4758.399902,4756.79992675,0.0230777345413485,"2020-08-21"
4800,4860,4770.200195,4825,2113437,4825,4813.80004875,0.011982871442513,"2020-08-24"
4897,4998,4890.600098,4986.799805,2245654,4986.799805,4943.09997575,0.0268602612677223,"2020-08-25"
5060.399902,5135.799805,4816.399902,4986.200195,3540673,4986.200195,4999.699951,0.0114502995140035,"2020-08-26"
4993.600098,5022.799805,4815,4835.799805,2376100,4835.799805,4916.799927,-0.0165809998224832,"2020-08-27"
4870.200195,4928.200195,4761,4846,2276902,4846,4851.3500975,-0.0133114689374668,"2020-08-28"
4890.600098,5165,4881,5139.799805,22265810,5139.799805,5019.09997575,0.034577978269687,"2020-08-31"
5080,5177,4984.799805,4987,3465171,4987,5057.19995125,0.00759099752626605,"2020-09-01"
5070,5118.200195,4943,4991.200195,2179990,4991.200195,5030.6000975,-0.00525979870410785,"2020-09-02"
5043,5106,4902.600098,4961.399902,2276221,4961.399902,5003.25,-0.0054367465053707,"2020-09-03"
4885.799805,4993.799805,4766,4824,2537036,4824,4867.3999025,-0.0271523704592016,"2020-09-04"
4845,4997.799805,4810,4986.799805,1205634,4986.799805,4909.8999025,0.00873156117256178,"2020-09-07"
4745.600098,4752.799805,4722,4724.200195,2915943,4724.200195,4736.1500245,-0.0353876619585525,"2020-09-08"
4698.799805,4759,4650,4710,1567701,4710,4704.44995125,-0.00669321560466123,"2020-09-09"
4740,4774.799805,4590.399902,4665.799805,1479820,4665.799805,4692.749878,-0.00248702257888646,"2020-09-10"
4629.799805,4692.200195,4572.200195,4643,1274011,4643,4634.30004875,-0.0124553472419267,"2020-09-11"
4679.799805,4760,4665.200195,4705.200195,1031697,4705.200195,4702.55004875,0.0147271431029609,"2020-09-14"
4730,4836.799805,4665,4680.200195,1507927,4680.200195,4728,0.0054119469194729,"2020-09-15"
4704.600098,4719.600098,4616,4652.799805,758992,4652.799805,4673.25000025,-0.0115799491857022,"2020-09-16"
4606.799805,4613.399902,4483.399902,4536.799805,1554404,4536.799805,4560.0998535,-0.0242123033742999,"2020-09-17"
4581,4643.600098,4553,4586,877217,4586,4590.9000245,0.00675427556183006,"2020-09-18"
4627,4627,4488.200195,4509.200195,900891,4509.200195,4562.8500975,-0.00610989715530868,"2020-09-21"
4534,4620,4494,4538.600098,1219358,4538.600098,4546.6500245,-0.00355042849399698,"2020-09-22"
4980.799805,5653.200195,4941.600098,5041,12514530,5041,5154.1500245,0.133614858572011,"2020-09-23"
5016.600098,5044,4825.200195,4856.600098,2581332,4856.600098,4935.60009775,-0.0424027096051014,"2020-09-24"
4800,4931.200195,4710,4906.200195,1593883,4906.200195,4836.8500975,-0.0200076988196464,"2020-09-25"
4958,5119.799805,4941.799805,5059,1543488,5059,5019.6499025,0.0377931507727481,"2020-09-28"
5071,5131,4940.200195,5077,1376540,5077,5054.80004875,0.00700250952411934,"2020-09-29"
5078.399902,5106.799805,5022.399902,5062.600098,615664,5062.600098,5067.54992675,0.00252233082951571,"2020-09-30"
5070,5108.600098,4902,4944.600098,1073180,4944.600098,5006.300049,-0.0120866846178824,"2020-10-01"
4908,4988.600098,4845,4941.799805,1049958,4941.799805,4920.84997575,-0.017068508162444,"2020-10-02"
4938,4992.200195,4872.200195,4990,699908,4990,4948.1000975,0.00553768594537328,"2020-10-05"
4992,4999.200195,4905,4918.799805,760996,4918.799805,4953.75,0.0011418327011723,"2020-10-06"
4891.799805,4901,4743.600098,4753,849799,4753,4822.34997575,-0.0265253644713602,"2020-10-07"
4804,4816.600098,4700,4744.200195,741092,4744.200195,4766.20007325,-0.0116436805255443,"2020-10-08"
4732.200195,4766,4620.799805,4713,934152,4713,4708,-0.0122110008718779,"2020-10-09"
4697.799805,4794,4685,4725,864649,4725,4725.44995125,0.00370644673959212,"2020-10-12"
4750.399902,4849,4736.799805,4810,1117443,4810,4786.54992675,0.0129299804527266,"2020-10-13"
4845.200195,4885.399902,4795,4808,691931,4808,4833.40002425,0.00978786353782195,"2020-10-14"
4808,4808,4808,4808,0,4808,4808,-0.00525510492046267,"2020-10-15"
4808,4808,4808,4808,0,4808,4808,0,"2020-10-16"
4551.799805,4571.799805,4478.399902,4527.200195,1075421,4527.200195,4532.29992675,-0.0573419453514975,"2020-10-19"
4456.200195,4486.200195,4358,4398,1161336,4398,4424.6000975,-0.0237627321648213,"2020-10-20"
4352.799805,4440,4263.600098,4381.600098,1706760,4381.600098,4359.50000025,-0.0147132160682236,"2020-10-21"
4400,4508.600098,4373,4398.799805,1341168,4398.799805,4420.09997575,0.013900671062398,"2020-10-22"
4441,4510,4435.200195,4463,647319,4463,4462.30004875,0.00954731187790394,"2020-10-23"
4499.799805,4540.600098,4450.200195,4460.600098,470039,4460.600098,4487.800049,0.00571454182179935,"2020-10-26"
4584,4607,4584,4603.200195,772469,4603.200195,4594.55004875,0.0237867103223076,"2020-10-27"
4590,4637,4500,4562,1197831,4562,4572.25,-0.00485358707890608,"2020-10-28"
4610,4624.600098,4606.600098,4621.600098,887258,4621.600098,4615.7000735,0.00950299600852975,"2020-10-29"
4638.399902,4640,4515,4527.799805,566821,4527.799805,4580.29992675,-0.00766950759067777,"2020-10-30"
4560,4685,4545.399902,4620,671476,4620,4602.5999755,0.00486868744550175,"2020-11-02"
4602,4627.799805,4536,4569.399902,790846,4569.399902,4583.79992675,-0.00408465842134325,"2020-11-03"
4765.399902,4867,4710.200195,4854.200195,1357280,4854.200195,4799.200073,0.0469916116960024,"2020-11-05"
4831.600098,4904.799805,4780,4885,890683,4885,4850.34997575,0.0106580059118113,"2020-11-06"
4988.799805,5077,4933.399902,4995.799805,1625943,4995.799805,4998.749878,0.0305957102048195,"2020-11-09"
4975,4986,4715.799805,4739,1305663,4739,4853.94995125,-0.0289672278637663,"2020-11-10"
4726.600098,4813.600098,4666.200195,4741,1532417,4741,4736.85009775,-0.0241246520207412,"2020-11-11"
4741.200195,4756.399902,4741.200195,4744.200195,520607,4744.200195,4745.75012175,0.00187889078529802,"2020-11-12"
4748.799805,4789,4732,4766,316784,4766,4758.94995125,0.00278140002346604,"2020-11-13"
4805.200195,4838,4705.200195,4754,581223,4754,4775.6000975,0.00349870169271849,"2020-11-16"
4738,4765,4658,4665,347355,4665,4706.5,-0.0144694061666039,"2020-11-17"
4672,4750,4641.200195,4683.399902,450227,4683.399902,4686.65002425,-0.00421756629129915,"2020-11-18"
4696,4729.799805,4678,4696.799805,273487,4696.799805,4700.1499025,0.00288049634176795,"2020-11-19"
4743.600098,4792.799805,4720,4789.399902,293225,4789.399902,4761.44995125,0.013042147595632,"2020-11-20"
4750,4783,4690,4693.600098,497020,4693.600098,4729.1500245,-0.00678363252385345,"2020-11-23"
4711,4966.600098,4695.399902,4904.200195,1321921,4904.200195,4819.30004875,0.0190626272761418,"2020-11-24"
4920,4933,4909.200195,4917.399902,718410,4917.399902,4919.90002425,0.0208743955517136,"2020-11-25"
4940,5026.799805,4915.799805,5025.200195,552180,5025.200195,4976.94995125,0.0115957492466925,"2020-11-26"
5007,5170,4970.200195,5073,875602,5073,5055.05004875,0.0156923614392355,"2020-11-27"
5099.799805,5418.399902,5065.200195,5283,3443400,5283,5216.5999755,0.0319581260703734,"2020-11-30"
